,number,w,name,rate,begin,end,index1,value1,index2,value2
0,191,50,orig_p2p,1.0199726078688331,134498,134598,134548,2070.32,51579,2029.78
1,191,50,diff_p2p,13.441287173775377,143442,143542,143492,1443.32541672,68551,107.38
2,191,50,acc_p2p,52.352747777265755,143442,143542,143492,2726.5311042400003,32369,52.08
3,191,50,diff_small,1.0187667560321716,191467,191567,191517,0.9120000000000001,159048,0.8952000000000001
4,191,50,diff_cross,5.918439716312057,143415,143515,143465,0.6676000000000001,154487,0.11280000000000001
5,191,50,acc_std,69.9274595116726,143426,143526,143476,521.6074667682851,32369,7.459265221571736
6,191,50,acc_std_inv,2.0796675203134365,191468,191568,191518,6.583591724687386,86641,3.1656943527661294
7,191,50,orig_mp_novelty,4.377844883220068,143440,143540,143490,5.592105645180422,68556,1.2773649579532886
8,191,50,orig_np_novelty,1.2230607324160703,143453,143553,143503,8.56293375788952,143419,7.001233488196491
9,191,50,orig_mp_outlier,4.9561899489436785,143438,143538,143488,5.390409870178264,68556,1.0876116383164716
10,191,50,orig_np_outlier,1.4374487091859602,143369,143469,143419,6.338744653610645,143509,4.409718839429291
11,191,60,orig_p2p,1.025138067506358,134488,134608,134548,2270.7833333333333,51578,2215.1
12,191,60,diff_p2p,13.355440588072119,143432,143552,143492,1444.3908995999998,68551,108.15
13,191,60,acc_p2p,51.946885820488426,143432,143552,143492,2729.8088498666666,32369,52.55
14,191,60,orig_p2p_inv,1.0,65475,65595,65535,10.0,68307,10.0
15,191,60,diff_small,1.0093023255813953,158991,159111,159051,0.8438888888888888,113456,0.836111111111111
16,191,60,diff_cross,6.194225721784778,143403,143523,143463,0.6555555555555556,154473,0.10583333333333332
17,191,60,acc_std,71.63643092332384,143415,143535,143475,501.5471998370459,32369,7.001286822536953
18,191,60,acc_std_inv,1.5922022403453153,191466,191586,191526,4.952268825750654,86634,3.110326502666276
19,191,60,orig_mp_novelty,3.1934536601687324,143432,143552,143492,5.1040057277676665,68557,1.5982714236404438
20,191,60,orig_np_novelty,4.35713475543942,143439,143559,143499,9.136504749268237,129943,2.0969066283438402
21,191,60,orig_mp_outlier,3.482388574772415,143431,143551,143491,5.0087365750201664,68556,1.4383049069552796
22,191,60,orig_np_outlier,1.1908659473524603,143373,143493,143433,7.196678602070716,143501,6.043231497273402
23,191,72,orig_p2p,1.0187635662963865,134476,134620,134548,2437.9861111111113,51577,2393.0833333333335
24,191,72,diff_p2p,13.28483004519341,143420,143564,143492,1445.2788019999998,68551,108.79166666666667
25,191,72,acc_p2p,51.82900472286618,143420,143564,143492,2732.540304555556,32369,52.72222222222222
26,191,72,diff_small,1.0441249380267725,113379,113523,113451,0.8125,159051,0.7781635802469136
27,191,72,diff_cross,6.237816764132555,143391,143535,143463,0.617283950617284,154473,0.09895833333333333
