,number,w,name,rate,begin,end,index1,value1,index2,value2
0,170,50,orig_p2p,1.004848288958022,28093,28193,28143,1989.68,40626,1980.08
1,170,50,diff_p2p,1.04816259370965,21019,21119,21069,326.3,33140,311.30666364
2,170,50,acc_p2p,1.044148822055138,33117,33217,33167,324.9599964000001,21070,311.22
3,170,50,diff_cross,1.0383275261324043,36879,36979,36929,0.23840000000000003,44180,0.2296
4,170,50,acc_std,1.1298493857724374,33091,33191,33141,44.84489403971844,21070,39.691037234188165
5,170,60,orig_p2p,1.0003276432620163,40566,40686,40626,2035.4,28143,2034.7333333333333
6,170,60,diff_p2p,1.0511647082556879,21009,21129,21069,327.9166666666667,33140,311.9555518666666
7,170,60,acc_p2p,1.0434968583810391,33107,33227,33167,325.066663,21070,311.51666666666665
8,170,60,diff_cross,1.0556328233657857,36867,36987,36927,0.21083333333333334,20666,0.19972222222222225
9,170,60,acc_std,1.184646958059233,33081,33201,33141,43.01991364880594,21070,36.314543633559836
10,170,60,orig_mp_novelty,3.0571175909015764,33099,33219,33159,3.522660066114841,43879,1.1522815074561692
11,170,60,orig_np_novelty,1.1666228091361588,33101,33221,33161,3.128368590775524,43883,2.681559597734906
12,170,60,orig_mp_outlier,2.9632821791370647,33107,33227,33167,3.1987273023603344,43879,1.0794541690564998
13,170,60,orig_np_outlier,1.4381189922481998,43824,43944,43884,3.2014216497439176,33137,2.226117356769735
14,170,72,orig_p2p,1.0044502828342403,40554,40698,40626,2081.5,28143,2072.277777777778
15,170,72,diff_p2p,1.0499734888653236,20997,21141,21069,330.0416666666667,17593,314.3333333333333
16,170,72,acc_p2p,1.0429545031407317,33095,33239,33167,325.1555518333334,21070,311.7638888888889
17,170,72,diff_cross,1.0586319218241043,36855,36999,36927,0.1880787037037037,44187,0.17766203703703703
18,170,72,acc_std,1.2299484942030525,33069,33213,33141,40.85385392519447,21070,33.215906290178275
19,170,72,orig_mp_novelty,3.1338911680507593,33089,33233,33161,3.8127640739427466,43879,1.216622999807054
20,170,72,orig_np_novelty,1.0994830897863221,33105,33249,33177,2.9106601772018,43883,2.647298720862973
21,170,72,orig_mp_outlier,3.141828111223158,33088,33232,33160,3.5069742227727407,43879,1.1162209066260553
22,170,72,orig_np_outlier,1.011946900118975,33089,33233,33161,2.686231933560116,43884,2.6545186642147875
23,170,86,orig_p2p,1.0033916969496752,40540,40712,40626,2119.0232558139537,59115,2111.860465116279
24,170,86,diff_p2p,1.043180987202925,20983,21155,21069,331.75581395348837,17593,318.0232558139535
25,170,86,acc_p2p,1.042513685787767,33081,33253,33167,325.2279032093023,21070,311.9651162790698
26,170,86,diff_cross,1.0265560165975103,36842,37014,36928,0.16725256895619253,44184,0.16292590589507844
27,170,86,acc_std,1.276541952737092,33055,33227,33141,38.861333859002066,21070,30.442660952644527
28,170,86,orig_mp_novelty,2.5825079569384406,33076,33248,33162,3.748212522249908,43879,1.4513846945483988
29,170,86,orig_np_novelty,1.2955525478313985,43802,43974,43888,3.401347606501929,33073,2.6254030469048764
30,170,86,orig_mp_outlier,2.641614624834204,33076,33248,33162,3.4640434908692455,43879,1.3113356726235794
31,170,86,orig_np_outlier,1.337301046910847,43803,43975,43889,2.517935155101745,33178,1.8828484139140933
32,170,103,orig_p2p,1.0011704574726255,40523,40729,40626,2150.873786407767,59115,2148.359223300971
33,170,103,diff_p2p,1.0380456183927542,20966,21172,21069,332.70873786407765,17593,320.5145631067961
34,170,103,acc_p2p,1.042139956702955,33064,33270,33167,325.2893165825243,21070,312.13592233009706
35,170,103,diff_large,1.0006829268292683,30120,30326,30223,0.9668206239984919,54613,0.9661608068620983
