,number,w,name,rate,begin,end,index1,value1,index2,value2
0,201,50,diff_p2p,1.105978612089845,16964,17064,17014,3936.2,1365,3559.02
1,201,50,orig_p2p_inv,1.0020994864416148,34539,34639,34589,1.09302639219738,35051,1.0907364059018134
2,201,50,diff_large,1.009031198686371,10441,10541,10491,0.9832,30847,0.9744000000000002
3,201,50,diff_cross,1.0036496350364963,10189,10289,10239,0.22,7505,0.2192
4,201,50,acc_std_inv,1.0083489616959938,16074,16174,16124,1.15741566403962,6879,1.1478324548407364
5,201,50,orig_mp_novelty,2.479646970413184,16963,17063,17013,4.397047657963368,34638,1.7732555119451894
6,201,50,orig_np_novelty,1.5614878015984754,16964,17064,17014,9.409734645467557,34638,6.026133944712812
7,201,50,orig_mp_outlier,5.241821823313241,16963,17063,17013,3.860655543141982,7009,0.7365102579358078
8,201,50,orig_np_outlier,5.023415310012466,16964,17064,17014,9.50151241003326,32011,1.8914447290661462
9,201,60,diff_p2p,1.1878565321597265,16954,17074,17014,4237.5,1365,3567.35
10,201,60,orig_p2p_inv,1.001230402523034,35001,35121,35061,1.0896977365740836,34581,1.0883586173852868
11,201,60,diff_large,1.002591419522027,10422,10542,10482,0.9672222222222222,6002,0.9647222222222223
12,201,60,diff_cross,1.0013140604467807,10179,10299,10239,0.2116666666666667,7505,0.2113888888888889
13,201,60,orig_mp_novelty,2.1081939906589064,16953,17073,17013,4.632096253786615,34613,2.1971869165317535
14,201,60,orig_np_novelty,1.209273515657868,16954,17074,17014,8.139961635789321,34618,6.73128248522091
15,201,60,orig_mp_outlier,4.074423604330276,16953,17073,17013,4.084008631043242,6969,1.0023524865462639
16,201,60,orig_np_outlier,4.606664303651128,16954,17074,17014,8.89053610381464,7555,1.9299292324748345
17,201,72,diff_p2p,1.2095623854603181,16942,17086,17014,4317.583333333333,1365,3569.5416666666665
18,201,72,orig_p2p_inv,1.000589108236586,34521,34665,34593,1.0872496736143515,35073,1.0866095429826275
19,201,72,acc_std_inv,1.001914302760987,34063,34207,34135,1.1018337230554756,40401,1.0997285097329577
20,201,72,orig_mp_novelty,1.6334185948469495,16941,17085,17013,4.923274869125656,34638,3.014092581446928
21,201,72,orig_np_novelty,1.1036329367727404,16942,17086,17014,7.6085652338067575,34666,6.894108521313106
22,201,72,orig_mp_outlier,3.0432139222618293,16941,17085,17013,4.398329047979798,6969,1.4452907880727612
23,201,72,orig_np_outlier,4.206337222059464,16942,17086,17014,8.680197932069568,2166,2.063600104753289
24,201,86,diff_p2p,1.2201035175781187,16928,17100,17014,4355.5,1365,3569.779069767442
25,201,86,orig_p2p_inv,1.000676865085475,34309,34481,34395,1.0885620401321214,34848,1.0878257288771631
26,201,86,acc_std_inv,1.0003150386713848,16040,16212,16126,1.0889278239268052,40409,1.0885848775932787
27,201,86,orig_mp_novelty,1.3585233735735687,16927,17099,17013,5.2077118995177765,34638,3.8333620170398643
28,201,86,orig_np_novelty,1.0319149471007534,16928,17100,17014,6.647129778853317,34668,6.441548111623883
29,201,86,orig_mp_outlier,2.3621775535947678,16926,17098,17012,4.722369784826156,6971,1.9991595371989042
30,201,86,orig_np_outlier,3.3525913385228954,16928,17100,17014,8.287721239151045,2166,2.472034436145295
31,201,103,diff_p2p,1.2278710280983824,16911,17117,17014,4383.47572815534,1365,3569.980582524272
32,201,103,orig_p2p_inv,1.000377567379105,34308,34514,34411,1.0881081193714899,34624,1.0876974402996966
33,201,103,diff_large,1.0006983936945026,37205,37411,37308,0.9454236968611556,35178,0.944763879724762
34,201,103,acc_std_inv,1.0018670699349042,34066,34272,34169,1.0897670546859337,40409,1.0877361751761547
35,201,103,orig_mp_novelty,1.0851226060748855,16910,17116,17013,5.45007268363522,34639,5.022540912081141
36,201,103,orig_np_novelty,1.0442340521702824,34514,34720,34617,7.13020733964106,25381,6.82816972384879
37,201,103,orig_mp_outlier,1.9784445555912937,16909,17115,17012,5.0194022360841695,6971,2.537044680832125
38,201,103,orig_np_outlier,3.367653491830946,16911,17117,17014,7.7820492879516445,2169,2.3108224485769924
39,201,124,diff_p2p,1.236397642642066,16890,17138,17014,4414.129032258064,1365,3570.1532258064517
40,201,124,orig_p2p_inv,1.0045348929588094,34480,34728,34604,1.0827883760114967,34431,1.077900213921087
41,201,124,diff_large,1.0009673184550543,35046,35294,35170,0.9421826222684703,37305,0.9412721123829344
42,201,124,acc_std_inv,1.000481622074657,34025,34273,34149,1.0739257203740638,40391,1.0734087430282915
43,201,124,orig_mp_novelty,1.0979436365381825,34515,34763,34639,6.306996900533756,25384,5.744372197847719
44,201,124,orig_np_novelty,1.0817924098032081,16889,17137,17013,4.132070375535541,34641,3.819651846408515
45,201,124,orig_mp_outlier,1.8433426985392427,16888,17136,17012,5.275885420298349,6983,2.8621294480289667
46,201,124,orig_np_outlier,3.363590084692079,16890,17138,17014,7.471788435643601,2169,2.2213730708888115
47,201,149,diff_p2p,1.2473917898243148,16865,17163,17014,4453.557046979866,1365,3570.2953020134228
48,201,149,orig_p2p_inv,1.0034425805404432,34430,34728,34579,1.0785964230483245,34213,1.0748960069717235
49,201,149,diff_large,1.000480792345786,35018,35316,35167,0.9373001216161435,32880,0.9368496914553398
50,201,149,acc_std_inv,1.0026546429217171,40249,40547,40398,1.0705122555682123,34147,1.0676779518506585
